term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
Conditions:act,3 km.h-1:ACTT (hip)-7 km.h-1:GT3X+ (hip),0,0.6360290749315567,-9.389263595777992,10.661321745641105,1
Conditions:act,5 km.h-1:ACTT (hip)-7 km.h-1:GT3X+ (hip),0,34.567170508901015,24.541877838191468,44.59246317961056,0
Conditions:act,7 km.h-1:ACTT (hip)-7 km.h-1:GT3X+ (hip),0,107.52291136015846,97.49761868944891,117.548204030868,0
Conditions:act,9 km.h-1:ACTT (hip)-7 km.h-1:GT3X+ (hip),0,137.75509628426636,127.63823132333772,147.871961245195,0
Conditions:act,Rest:ACTT (wrist)-7 km.h-1:GT3X+ (hip),0,-83.08441023076391,-93.10970290147345,-73.05911756005436,0
Conditions:act,3 km.h-1:ACTT (wrist)-7 km.h-1:GT3X+ (hip),0,-12.682242949813016,-22.707535620522563,-2.6569502791034676,0.0013124993323302414
Conditions:act,5 km.h-1:ACTT (wrist)-7 km.h-1:GT3X+ (hip),0,9.363690588573832,-0.6616020821357171,19.38898325928338,0.10222516369292411
Conditions:act,7 km.h-1:ACTT (wrist)-7 km.h-1:GT3X+ (hip),0,105.23516245086397,95.20986978015442,115.26045512157351,0
Conditions:act,9 km.h-1:ACTT (wrist)-7 km.h-1:GT3X+ (hip),0,150.20046721977752,140.08360225884888,160.31733218070616,0
Conditions:act,Rest:GT3X+ (wrist)-7 km.h-1:GT3X+ (hip),0,-84.52222211580157,-94.54751478651112,-74.49692944509202,0
Conditions:act,3 km.h-1:GT3X+ (wrist)-7 km.h-1:GT3X+ (hip),0,-40.83674707310536,-50.862039743814904,-30.81145440239581,0
Conditions:act,5 km.h-1:GT3X+ (wrist)-7 km.h-1:GT3X+ (hip),0,-17.05162516163054,-27.076917832340087,-7.026332490920991,3.921816814633772e-7
Conditions:act,7 km.h-1:GT3X+ (wrist)-7 km.h-1:GT3X+ (hip),0,39.251447190807426,29.22615452009788,49.27673986151697,0
Conditions:act,9 km.h-1:GT3X+ (wrist)-7 km.h-1:GT3X+ (hip),0,64.25726718362951,54.14040222270087,74.37413214455815,0
Conditions:act,Rest:ACTT (hip)-9 km.h-1:GT3X+ (hip),0,-91.94889098586357,-102.06916401997661,-81.82861795175053,0
Conditions:act,3 km.h-1:ACTT (hip)-9 km.h-1:GT3X+ (hip),0,-7.103166794203119,-17.22343982831616,3.0171062399099196,0.5891866348090758
Conditions:act,5 km.h-1:ACTT (hip)-9 km.h-1:GT3X+ (hip),0,26.82797463976634,16.7077016056533,36.94824767387938,1.566524687746096e-13
Conditions:act,7 km.h-1:ACTT (hip)-9 km.h-1:GT3X+ (hip),0,99.78371549102378,89.66344245691074,109.90398852513682,0
Conditions:act,9 km.h-1:ACTT (hip)-9 km.h-1:GT3X+ (hip),0,130.01590041513168,119.80490684010293,140.22689399016042,0
Conditions:act,Rest:ACTT (wrist)-9 km.h-1:GT3X+ (hip),0,-90.82360609989858,-100.94387913401162,-80.70333306578554,0
Conditions:act,3 km.h-1:ACTT (wrist)-9 km.h-1:GT3X+ (hip),0,-20.421438818947692,-30.541711853060733,-10.301165784834653,2.648034014285372e-10
Conditions:act,5 km.h-1:ACTT (wrist)-9 km.h-1:GT3X+ (hip),0,1.6244947194391557,-8.495778314673883,11.744767753552194,0.9999999988040409
Conditions:act,7 km.h-1:ACTT (wrist)-9 km.h-1:GT3X+ (hip),0,97.49596658172929,87.37569354761625,107.61623961584233,0
Conditions:act,9 km.h-1:ACTT (wrist)-9 km.h-1:GT3X+ (hip),0,142.46127135064285,132.2502777756141,152.67226492567158,0
Conditions:act,Rest:GT3X+ (wrist)-9 km.h-1:GT3X+ (hip),0,-92.26141798493624,-102.38169101904928,-82.1411449508232,0
Conditions:act,3 km.h-1:GT3X+ (wrist)-9 km.h-1:GT3X+ (hip),0,-48.57594294224003,-58.69621597635307,-38.45566990812699,0
Conditions:act,5 km.h-1:GT3X+ (wrist)-9 km.h-1:GT3X+ (hip),0,-24.790821030765215,-34.911094064878256,-14.670547996652177,1.3700152123874432e-13
Conditions:act,7 km.h-1:GT3X+ (wrist)-9 km.h-1:GT3X+ (hip),0,31.51225132167275,21.39197828755971,41.63252435578579,7.271960811294775e-14
Conditions:act,9 km.h-1:GT3X+ (wrist)-9 km.h-1:GT3X+ (hip),0,56.51807131449483,46.30707773946608,66.72906488952358,0
Conditions:act,3 km.h-1:ACTT (hip)-Rest:ACTT (hip),0,84.84572419166045,74.86569266709701,94.8257557162239,0
Conditions:act,5 km.h-1:ACTT (hip)-Rest:ACTT (hip),0,118.77686562562991,108.79683410106647,128.75689715019334,0
Conditions:act,7 km.h-1:ACTT (hip)-Rest:ACTT (hip),0,191.73260647688736,181.75257495232393,201.71263800145078,0
Conditions:act,9 km.h-1:ACTT (hip)-Rest:ACTT (hip),0,221.96479140099527,211.89277607457905,232.0368067274115,0
Conditions:act,Rest:ACTT (wrist)-Rest:ACTT (hip),0,1.1252848859649824,-8.854746638598456,11.10531641052842,0.9999999999981661
Conditions:act,3 km.h-1:ACTT (wrist)-Rest:ACTT (hip),0,71.52745216691588,61.54742064235244,81.50748369147932,0
Conditions:act,5 km.h-1:ACTT (wrist)-Rest:ACTT (hip),0,93.57338570530273,83.59335418073928,103.55341722986617,0
Conditions:act,7 km.h-1:ACTT (wrist)-Rest:ACTT (hip),0,189.44485756759286,179.46482604302943,199.4248890921563,0
Conditions:act,9 km.h-1:ACTT (wrist)-Rest:ACTT (hip),0,234.41016233650643,224.3381470100902,244.48217766292265,0
Conditions:act,Rest:GT3X+ (wrist)-Rest:ACTT (hip),0,-0.312526999072678,-10.292558523636117,9.66750452549076,1
Conditions:act,3 km.h-1:GT3X+ (wrist)-Rest:ACTT (hip),0,43.37294804362354,33.3929165190601,53.352979568186974,0
