+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.13
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : Primeiro dia de teste piloto
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 1293039
BATTERY_VOLTAGE : 4.21875
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
DATE_TIME : 11/04/2022 13:42:22
+-------------------------------------------------------+
DATE/TIME;PIM
21/03/2022 10:30:01;1005
21/03/2022 10:30:02;938
21/03/2022 10:30:03;905
21/03/2022 10:30:04;865
21/03/2022 10:30:05;711
21/03/2022 10:30:06;784
21/03/2022 10:30:07;812
21/03/2022 10:30:08;767
21/03/2022 10:30:09;805
21/03/2022 10:30:10;843
21/03/2022 10:30:11;958
21/03/2022 10:30:12;1031
21/03/2022 10:30:13;842
21/03/2022 10:30:14;779
21/03/2022 10:30:15;775
21/03/2022 10:30:16;642
21/03/2022 10:30:17;832
21/03/2022 10:30:18;915
21/03/2022 10:30:19;884
21/03/2022 10:30:20;897
21/03/2022 10:30:21;840
21/03/2022 10:30:22;923
21/03/2022 10:30:23;750
21/03/2022 10:30:24;815
21/03/2022 10:30:25;807
21/03/2022 10:30:26;823
21/03/2022 10:30:27;819
21/03/2022 10:30:28;880
21/03/2022 10:30:29;885
21/03/2022 10:30:30;930
21/03/2022 10:30:31;966
21/03/2022 10:30:32;921
21/03/2022 10:30:33;909
21/03/2022 10:30:34;749
21/03/2022 10:30:35;788
21/03/2022 10:30:36;817
21/03/2022 10:30:37;728
21/03/2022 10:30:38;786
21/03/2022 10:30:39;891
21/03/2022 10:30:40;911
21/03/2022 10:30:41;934
21/03/2022 10:30:42;897
21/03/2022 10:30:43;847
21/03/2022 10:30:44;857
21/03/2022 10:30:45;783
21/03/2022 10:30:46;797
21/03/2022 10:30:47;938
21/03/2022 10:30:48;906
21/03/2022 10:30:49;921
21/03/2022 10:30:50;874
21/03/2022 10:30:51;795
21/03/2022 10:30:52;900
21/03/2022 10:30:53;852
21/03/2022 10:30:54;821
21/03/2022 10:30:55;807
21/03/2022 10:30:56;735
21/03/2022 10:30:57;787
21/03/2022 10:30:58;830
21/03/2022 10:30:59;892
21/03/2022 10:31:00;823
21/03/2022 10:31:01;831
21/03/2022 10:31:02;967
21/03/2022 10:31:03;1019
21/03/2022 10:31:04;965
21/03/2022 10:31:05;1019
21/03/2022 10:31:06;945
21/03/2022 10:31:07;918
21/03/2022 10:31:08;994
21/03/2022 10:31:09;823
21/03/2022 10:31:10;823
21/03/2022 10:31:11;869
21/03/2022 10:31:12;911
21/03/2022 10:31:13;932
21/03/2022 10:31:14;952
21/03/2022 10:31:15;871
21/03/2022 10:31:16;781
21/03/2022 10:31:17;901
21/03/2022 10:31:18;787
21/03/2022 10:31:19;852
21/03/2022 10:31:20;868
21/03/2022 10:31:21;911
